grid_id,latitude,longitude,Mean_B2,Mean_B3,Mean_B4,Mean_B8,Mean_B11,Mean_B12,Mean_NBR,Std_NBR,Burn_Label
1,-0.680238,109.814188,1478.973432,1514.634633,1307.012142,3632.856596,1909.780114,1328.998656,0.464124,0.027269,0
2,-0.676892,109.813548,1472.902916,1529.016584,1329.224164,3564.897945,1916.474845,1291.253344,0.468128,0.027896,0
3,-0.672456,109.812995,1342.469776,1392.150904,1200.603309,3434.941191,1831.345040,1224.551186,0.474503,0.028054,0
4,-0.668041,109.812752,1644.577116,1650.106128,1461.994148,3553.609562,1941.260670,1398.618555,0.435545,0.031279,0
5,-0.663627,109.813066,1699.479370,1701.907070,1497.646873,3678.965202,2009.880421,1405.875146,0.446941,0.026980,0
6,-0.659068,109.813561,1778.827819,1764.620777,1558.286738,3749.072728,2023.946997,1497.895701,0.428768,0.021609,0
7,-0.654573,109.813841,1511.998346,1530.991173,1349.918724,3709.287497,1957.300236,1375.604309,0.458818,0.025824,0
8,-0.650087,109.814147,1705.335414,1734.366667,1549.856787,3786.216363,1957.691543,1411.495352,0.456530,0.020118,0
9,-0.645764,109.814451,2002.574684,1999.308424,1792.548242,3779.343331,1966.797644,1470.471127,0.437905,0.035342,0
11,-0.680699,109.817216,1741.641354,1757.227545,1558.567550,3641.351438,1908.059544,1393.510661,0.446552,0.029497,0
12,-0.677081,109.817185,1464.907033,1497.280125,1306.352630,3539.809756,1891.172505,1293.228958,0.464843,0.024572,0
13,-0.672558,109.817186,1503.035891,1545.566341,1356.882961,3530.947535,1902.792088,1291.775424,0.464154,0.019915,0
14,-0.668035,109.817187,1688.824336,1708.392907,1530.945213,3692.719101,1985.445390,1408.906267,0.448310,0.035319,0
15,-0.663513,109.817188,1755.693085,1746.114544,1545.976182,3713.963297,1992.210601,1420.739920,0.446813,0.028543,0
16,-0.658990,109.817189,1771.766603,1765.690340,1561.597971,3741.635908,2010.296416,1488.723558,0.430976,0.029604,0
17,-0.654467,109.817190,1778.196827,1786.155962,1604.651535,3761.977954,2026.908896,1525.044800,0.422839,0.022988,0
18,-0.649945,109.817191,1691.988238,1705.790137,1500.045123,3696.309944,1959.606615,1361.853040,0.461573,0.027150,0
19,-0.645422,109.817192,1519.189114,1561.924265,1352.841826,3758.786676,1944.116099,1315.398980,0.482025,0.031805,0
20,-0.641289,109.817649,1659.624980,1689.698485,1511.513166,3600.118004,1903.652108,1366.753587,0.446433,0.047341,0
21,-0.638220,109.818974,1905.186224,1931.408042,1723.936905,3931.049858,1917.334864,1426.484694,0.467118,0.019507,0
22,-0.680399,109.820542,1733.920744,1751.940741,1562.273330,3502.408753,1911.058911,1434.951156,0.417556,0.042891,0
23,-0.676988,109.821035,1711.206779,1732.209056,1593.473919,3406.995182,1808.819720,1323.849746,0.436666,0.055137,0
24,-0.672475,109.821570,1698.401814,1719.633914,1524.641114,3644.389457,1965.092935,1371.993397,0.452172,0.028841,0
25,-0.668036,109.821679,1668.972799,1690.874020,1511.878760,3683.132117,2010.332803,1440.706880,0.437699,0.024273,0
26,-0.663514,109.821681,1846.244439,1848.371831,1663.323882,3715.827711,2022.436465,1523.427253,0.418733,0.031684,0
27,-0.658991,109.821682,1620.926441,1645.905343,1447.013822,3790.173763,2021.608587,1439.153599,0.450351,0.035515,0
28,-0.654468,109.821683,1623.026410,1645.000522,1455.067522,3870.529495,2015.984793,1438.307587,0.458373,0.027523,0
29,-0.649946,109.821684,1430.862225,1485.591709,1301.792111,3814.890712,1969.345051,1315.256787,0.486965,0.025077,0
30,-0.645423,109.821685,1487.717480,1534.058193,1330.226986,3765.921585,1996.064939,1334.630408,0.476638,0.026313,0
31,-0.640900,109.821686,1594.150410,1625.023040,1422.831969,3689.401332,1960.215959,1328.043274,0.470228,0.023143,0
32,-0.636881,109.822110,1665.812064,1676.040280,1466.869223,3646.927235,1875.249759,1296.115407,0.470711,0.059160,0
34,-0.671406,109.826228,1742.406649,1718.686104,1507.347692,3702.632097,2004.499080,1357.506341,0.463464,0.029278,0
35,-0.668037,109.826172,1598.661702,1594.397473,1387.984967,3716.373491,1975.735395,1358.407800,0.464666,0.025676,0
36,-0.663515,109.826173,1732.988745,1744.457337,1545.983627,3758.099268,2031.714761,1443.378920,0.445106,0.025321,0
37,-0.658992,109.826174,1421.998980,1482.332111,1278.938595,3709.586255,1946.321460,1317.120435,0.475922,0.023846,0
38,-0.654469,109.826175,1629.714693,1642.551641,1430.590933,3791.024153,2010.409463,1368.046213,0.469407,0.027440,0
39,-0.649947,109.826176,1762.292283,1785.392767,1588.834607,3870.314238,2024.017889,1354.264526,0.480949,0.033147,0
40,-0.645424,109.826177,1810.074146,1814.434063,1604.249729,3861.460271,2027.946225,1441.980667,0.456221,0.030294,0
41,-0.640901,109.826178,1613.582498,1630.392033,1406.032046,3749.053388,1965.815306,1365.769781,0.465635,0.019818,0
42,-0.636379,109.826180,1502.786845,1522.615016,1312.337932,3691.227112,1913.785920,1290.211886,0.479525,0.041735,0
43,-0.632908,109.826733,1528.714058,1554.923903,1494.865692,3014.241089,1621.124867,1223.665143,0.411407,0.063251,0
44,-0.672040,109.830841,1706.684314,1707.546340,1513.507923,3741.291517,2009.678478,1406.346652,0.453153,0.024919,0
45,-0.668039,109.830665,1628.897908,1624.867087,1414.255235,3789.099475,2014.246204,1394.810387,0.461593,0.021248,0
46,-0.663516,109.830666,1622.666886,1644.175073,1449.391045,3762.056888,2017.856966,1420.275440,0.451673,0.022736,0
47,-0.658993,109.830667,1601.323995,1622.581429,1431.715402,3690.622528,1999.469399,1444.723219,0.437468,0.027319,0
