grid_id,latitude,longitude,Mean_B2,Mean_B3,Mean_B4,Mean_B8,Mean_B11,Mean_B12,Mean_NBR,Std_NBR,Hotspot_Frequency,Confidence_Mean,FRP_Max,Burn_Ratio
GRID_00001,-0.3263,109.8102,,,,,,,,,,,,0.0
GRID_00002,-0.3263,109.8147,,,,,,,,,,,,0.0
GRID_00003,-0.3263,109.8192,,,,,,,,,,,,0.0
GRID_00004,-0.3263,109.8237,,,,,,,,,,,,0.0
GRID_00005,-0.3263,109.8282,,,,,,,,,,,,0.0
GRID_00006,-0.3263,109.8327,,,,,,,,,,,,0.0
GRID_00007,-0.3263,109.8372,,,,,,,,,,,,0.0
GRID_00008,-0.3263,109.8417,,,,,,,,,,,,0.0
GRID_00009,-0.3263,109.8462,,,,,,,,,,,,0.0
GRID_00010,-0.3263,109.8507,,,,,,,,,,,,0.0
GRID_00011,-0.3263,109.8552,,,,,,,,,,,,0.0
GRID_00012,-0.3263,109.8597,,,,,,,,,,,,0.0
GRID_00013,-0.3263,109.8642,,,,,,,,,,,,0.0
GRID_00014,-0.3263,109.8686,,,,,,,,,,,,0.0
GRID_00015,-0.3263,109.8731,,,,,,,,,,,,0.0
GRID_00016,-0.3263,109.8776,,,,,,,,,,,,0.0
GRID_00017,-0.3263,109.8821,,,,,,,,,,,,0.0
GRID_00018,-0.3263,109.8866,,,,,,,,,,,,0.0
GRID_00019,-0.3263,109.8911,,,,,,,,,,,,0.0
GRID_00020,-0.3263,109.8956,,,,,,,,,,,,0.0
GRID_00021,-0.3263,109.9001,,,,,,,,,,,,0.0
GRID_00022,-0.3264,109.9046,,,,,,,,,,,,0.0
GRID_00023,-0.3264,109.9091,,,,,,,,,,,,0.0
GRID_00024,-0.3264,109.9136,,,,,,,,,,,,0.0
GRID_00025,-0.3264,109.9181,,,,,,,,,,,,0.0
GRID_00026,-0.3264,109.9226,,,,,,,,,,,,0.0
GRID_00027,-0.3264,109.927,,,,,,,,,,,,0.0
GRID_00028,-0.3264,109.9315,,,,,,,,,,,,0.0
GRID_00029,-0.3264,109.936,,,,,,,,,,,,0.0
GRID_00030,-0.3264,109.9405,,,,,,,,,,,,0.0
GRID_00031,-0.3264,109.945,,,,,,,,,,,,0.0
GRID_00032,-0.3264,109.9495,,,,,,,,,,,,0.0
GRID_00033,-0.3264,109.954,,,,,,,,,,,,0.0
GRID_00034,-0.3264,109.9585,,,,,,,,,,,,0.0
GRID_00035,-0.3264,109.963,,,,,,,,,,,,0.0
GRID_00036,-0.3264,109.9675,,,,,,,,,,,,0.0
GRID_00037,-0.3264,109.972,,,,,,,,,,,,0.0
GRID_00038,-0.3264,109.9765,,,,,,,,,,,,0.0
GRID_00039,-0.3264,109.981,,,,,,,,,,,,0.0
GRID_00040,-0.3264,109.9855,,,,,,,,,,,,0.0
GRID_00041,-0.3264,109.9899,,,,,,,,,,,,0.0
GRID_00042,-0.3264,109.9944,,,,,,,,,,,,0.0
GRID_00043,-0.3264,109.9989,,,,,,,,,,,,0.0
GRID_00044,-0.3264,110.0034,,,,,,,,,,,,0.0
GRID_00045,-0.3264,110.0079,,,,,,,,,,,,0.0
GRID_00046,-0.3264,110.0124,,,,,,,,,,,,0.0
GRID_00047,-0.3264,110.0169,,,,,,,,,,,,0.0
GRID_00048,-0.3264,110.0214,,,,,,,,,,,,0.0
GRID_00049,-0.3264,110.0259,,,,,,,,,,,,0.0
GRID_00050,-0.3264,110.0304,,,,,,,,,,,,0.0
GRID_00051,-0.3264,110.0349,,,,,,,,,,,,0.0
GRID_00052,-0.3264,110.0394,,,,,,,,,,,,0.0
GRID_00053,-0.3264,110.0439,,,,,,,,,,,,0.0
GRID_00054,-0.3264,110.0484,,,,,,,,,,,,0.0
GRID_00055,-0.3264,110.0528,,,,,,,,,,,,0.0
GRID_00056,-0.3264,110.0573,,,,,,,,,,,,0.0
GRID_00057,-0.3264,110.0618,,,,,,,,,,,,0.0
GRID_00058,-0.3264,110.0663,,,,,,,,,,,,0.0
GRID_00059,-0.3264,110.0708,,,,,,,,,,,,0.0
GRID_00060,-0.3264,110.0753,,,,,,,,,,,,0.0
GRID_00061,-0.3264,110.0798,,,,,,,,,,,,0.0
GRID_00062,-0.3264,110.0843,,,,,,,,,,,,0.0
GRID_00063,-0.3264,110.0888,,,,,,,,,,,,0.0
GRID_00064,-0.3264,110.0933,,,,,,,,,,,,0.0
GRID_00065,-0.3264,110.0978,,,,,,,,,,,,0.0
GRID_00066,-0.3264,110.1023,,,,,,,,,,,,0.0
GRID_00067,-0.3264,110.1068,,,,,,,,,,,,0.0
GRID_00068,-0.3264,110.1113,,,,,,,,,,,,0.0
GRID_00069,-0.3264,110.1157,,,,,,,,,,,,0.0
GRID_00070,-0.3264,110.1202,,,,,,,,,,,,0.0
GRID_00071,-0.3264,110.1247,,,,,,,,,,,,0.0
GRID_00072,-0.3264,110.1292,,,,,,,,,,,,0.0
GRID_00073,-0.3264,110.1337,,,,,,,,,,,,0.0
GRID_00074,-0.3264,110.1382,,,,,,,,,,,,0.0
GRID_00075,-0.3264,110.1427,,,,,,,,,,,,0.0
GRID_00076,-0.3264,110.1472,,,,,,,,,,,,0.0
GRID_00077,-0.3264,110.1517,,,,,,,,,,,,0.0
GRID_00078,-0.3264,110.1562,,,,,,,,,,,,0.0
GRID_00079,-0.3264,110.1607,,,,,,,,,,,,0.0
GRID_00080,-0.3264,110.1652,,,,,,,,,,,,0.0
GRID_00081,-0.3264,110.1697,,,,,,,,,,,,0.0
