pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
1,-0.34529,110.464146,1,0.5,4.5
2,-0.34529,110.467515,1,0.5,4.5
3,-0.34529,110.470884,1,0.5,4.5
4,-0.348659,110.464146,1,0.5,4.5
5,-0.348659,110.467515,2,0.5,4.5
6,-0.348659,110.470884,2,0.5,4.5
7,-0.348659,110.474252,1,0.5,3.0
8,-0.352027,110.464146,1,0.5,4.5
9,-0.352027,110.467515,2,0.5,4.5
10,-0.352027,110.470884,2,0.5,4.5
11,-0.352027,110.474252,1,0.5,3.0
12,-0.352027,110.48099,1,0.5,9.85
13,-0.352027,110.484358,1,0.5,9.85
14,-0.352027,110.487727,1,0.5,9.85
15,-0.352027,110.507939,1,0.5,12.69
16,-0.352027,110.511308,1,0.5,12.69
17,-0.352027,110.514676,1,0.5,12.69
18,-0.355396,110.467515,1,0.5,3.0
19,-0.355396,110.470884,1,0.5,3.0
20,-0.355396,110.474252,1,0.5,3.0
21,-0.355396,110.48099,1,0.5,9.85
22,-0.355396,110.484358,1,0.5,9.85
23,-0.355396,110.487727,1,0.5,9.85
24,-0.355396,110.50457,1,0.5,2.65
25,-0.355396,110.507939,1,0.5,12.69
26,-0.355396,110.511308,1,0.5,12.69
27,-0.355396,110.514676,1,0.5,12.69
28,-0.358765,110.48099,1,0.5,36.52
29,-0.358765,110.484358,1,0.5,36.52
30,-0.358765,110.487727,1,0.5,36.52
31,-0.358765,110.491096,1,0.5,36.52
32,-0.358765,110.50457,1,0.5,2.65
33,-0.358765,110.507939,1,0.5,12.69
34,-0.358765,110.511308,1,0.5,12.69
35,-0.358765,110.514676,1,0.5,12.69
36,-0.362133,110.48099,1,0.5,36.52
37,-0.362133,110.484358,1,0.5,36.52
38,-0.362133,110.487727,1,0.5,36.52
39,-0.362133,110.491096,1,0.5,36.52
40,-0.362133,110.50457,1,0.5,2.65
41,-0.362133,110.507939,1,0.5,2.65
42,-0.362133,110.511308,1,0.5,2.65
43,-0.365502,110.48099,1,0.5,36.52
44,-0.365502,110.484358,1,0.5,36.52
45,-0.365502,110.487727,1,0.5,36.52
46,-0.365502,110.491096,1,0.5,36.52
47,-0.365502,110.50457,1,0.5,8.19
48,-0.365502,110.507939,1,0.5,8.19
