Cluster,Activity_Rank,Risk_Level,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max,Ranking_Basis,Interpretation_Short,Interpretation
1,1.0,Very High,37,0.18365928720341507,5.0,5.0,0.0,5,5,12.955945945945945,11.69,3.9201788929272796,6.72,20.37,"Ranked by Hotspot Frequency (5.00), FRP (12.96), Pixel Count (37, 0.18% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #1 with the highest hotspot frequency (5.00) and strong fire radiative power (12.96). The cluster contains 37 pixels (0.18% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
2,2.0,Very High,75,0.37228233892584134,4.0,4.0,0.0,4,4,11.365066666666667,11.93,3.6607089748023136,4.21,20.99,"Ranked by Hotspot Frequency (4.00), FRP (11.37), Pixel Count (75, 0.37% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #2 with the highest hotspot frequency (4.00) and strong fire radiative power (11.37). The cluster contains 75 pixels (0.37% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
17,3.0,Very High,36,0.17869552268440386,3.0,3.0,0.0,3,3,24.075555555555557,24.3,1.0435418930448759,22.39,25.7,"Ranked by Hotspot Frequency (3.00), FRP (24.08), Pixel Count (36, 0.18% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #3 with the highest hotspot frequency (3.00) and strong fire radiative power (24.08). The cluster contains 36 pixels (0.18% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
18,4.0,Very High,273,1.3551077136900627,3.0,3.0,0.0,3,3,11.526556776556777,11.11,4.054913578615038,5.17,20.99,"Ranked by Hotspot Frequency (3.00), FRP (11.53), Pixel Count (273, 1.36% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #4 with the highest hotspot frequency (3.00) and strong fire radiative power (11.53). The cluster contains 273 pixels (1.36% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
3,5.0,Very High,58,0.28789834210265064,2.0,2.0,0.0,2,2,75.80241379310345,74.05,3.899150294455662,65.62,83.65,"Ranked by Hotspot Frequency (2.00), FRP (75.80), Pixel Count (58, 0.29% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #5 with the highest hotspot frequency (2.00) and strong fire radiative power (75.80). The cluster contains 58 pixels (0.29% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
22,6.0,Very High,52,0.2581157549885833,2.0,2.0,0.0,2,2,38.66423076923077,38.315,0.9384328742253476,37.09,40.17,"Ranked by Hotspot Frequency (2.00), FRP (38.66), Pixel Count (52, 0.26% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #6 with the highest hotspot frequency (2.00) and strong fire radiative power (38.66). The cluster contains 52 pixels (0.26% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
21,7.0,Very High,31,0.15387670008934776,2.0,2.0,0.0,2,2,35.84322580645161,35.8,0.34008221649844533,35.08,36.37,"Ranked by Hotspot Frequency (2.00), FRP (35.84), Pixel Count (31, 0.15% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #7 with the highest hotspot frequency (2.00) and strong fire radiative power (35.84). The cluster contains 31 pixels (0.15% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
37,8.0,Very High,124,0.615506800357391,2.0,2.0,0.0,2,2,26.483709677419355,25.87,1.2438208035928264,24.71,28.87,"Ranked by Hotspot Frequency (2.00), FRP (26.48), Pixel Count (124, 0.62% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #8 with the highest hotspot frequency (2.00) and strong fire radiative power (26.48). The cluster contains 124 pixels (0.62% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
36,9.0,Very High,31,0.15387670008934776,2.0,2.0,0.0,2,2,23.743225806451612,23.81,0.24371276942026326,23.22,24.17,"Ranked by Hotspot Frequency (2.00), FRP (23.74), Pixel Count (31, 0.15% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #9 with the highest hotspot frequency (2.00) and strong fire radiative power (23.74). The cluster contains 31 pixels (0.15% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
50,10.0,Very High,170,0.843839968231907,2.0,2.0,0.0,2,2,19.97470588235294,19.95,0.8157155906425115,18.53,21.41,"Ranked by Hotspot Frequency (2.00), FRP (19.97), Pixel Count (170, 0.84% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #10 with the highest hotspot frequency (2.00) and strong fire radiative power (19.97). The cluster contains 170 pixels (0.84% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
79,11.0,Very High,36,0.17869552268440386,2.0,2.0,0.0,2,2,16.74972222222222,16.7,0.26133160227803803,16.25,17.22,"Ranked by Hotspot Frequency (2.00), FRP (16.75), Pixel Count (36, 0.18% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #11 with the highest hotspot frequency (2.00) and strong fire radiative power (16.75). The cluster contains 36 pixels (0.18% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
80,12.0,Very High,52,0.2581157549885833,2.0,2.0,0.0,2,2,15.886538461538462,15.945,0.14993965603698292,15.58,16.1,"Ranked by Hotspot Frequency (2.00), FRP (15.89), Pixel Count (52, 0.26% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #12 with the highest hotspot frequency (2.00) and strong fire radiative power (15.89). The cluster contains 52 pixels (0.26% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
91,13.0,Very High,32,0.15884046460835896,2.0,2.0,0.0,2,2,14.908750000000001,14.9,0.0965785657112319,14.68,15.06,"Ranked by Hotspot Frequency (2.00), FRP (14.91), Pixel Count (32, 0.16% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #13 with the highest hotspot frequency (2.00) and strong fire radiative power (14.91). The cluster contains 32 pixels (0.16% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
90,14.0,Very High,26,0.12905787749429165,2.0,2.0,0.0,2,2,14.314615384615385,14.3,0.08065882564137755,14.21,14.49,"Ranked by Hotspot Frequency (2.00), FRP (14.31), Pixel Count (26, 0.13% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #14 with the highest hotspot frequency (2.00) and strong fire radiative power (14.31). The cluster contains 26 pixels (0.13% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
111,15.0,Very High,34,0.16876799364638143,2.0,2.0,0.0,2,2,13.513235294117647,13.545,0.09030992388957712,13.24,13.62,"Ranked by Hotspot Frequency (2.00), FRP (13.51), Pixel Count (34, 0.17% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #15 with the highest hotspot frequency (2.00) and strong fire radiative power (13.51). The cluster contains 34 pixels (0.17% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
112,16.0,Very High,81,0.4020649260399086,2.0,2.0,0.0,2,2,12.950740740740741,12.96,0.13378880537789506,12.72,13.18,"Ranked by Hotspot Frequency (2.00), FRP (12.95), Pixel Count (81, 0.40% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #16 with the highest hotspot frequency (2.00) and strong fire radiative power (12.95). The cluster contains 81 pixels (0.40% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
195,17.0,Very High,28,0.13898540653231412,2.0,2.0,0.0,2,2,12.293571428571427,12.32,0.06533187559112268,12.18,12.36,"Ranked by Hotspot Frequency (2.00), FRP (12.29), Pixel Count (28, 0.14% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #17 with the highest hotspot frequency (2.00) and strong fire radiative power (12.29). The cluster contains 28 pixels (0.14% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
216,18.0,Very High,160,0.7942023230417949,2.0,2.0,0.0,2,2,11.446250000000001,11.46,0.37893055403315534,10.67,12.05,"Ranked by Hotspot Frequency (2.00), FRP (11.45), Pixel Count (160, 0.79% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #18 with the highest hotspot frequency (2.00) and strong fire radiative power (11.45). The cluster contains 160 pixels (0.79% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
262,19.0,Very High,71,0.35242728084979646,2.0,2.0,0.0,2,2,9.780985915492959,9.77,0.1564896612703441,9.46,10.1,"Ranked by Hotspot Frequency (2.00), FRP (9.78), Pixel Count (71, 0.35% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #19 with the highest hotspot frequency (2.00) and strong fire radiative power (9.78). The cluster contains 71 pixels (0.35% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
284,20.0,Very High,57,0.28293457758363943,2.0,2.0,0.0,2,2,9.141929824561403,9.13,0.055370137532119515,9.04,9.29,"Ranked by Hotspot Frequency (2.00), FRP (9.14), Pixel Count (57, 0.28% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #20 with the highest hotspot frequency (2.00) and strong fire radiative power (9.14). The cluster contains 57 pixels (0.28% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
285,21.0,Very High,56,0.27797081306462823,2.0,2.0,0.0,2,2,8.849464285714285,8.86,0.05093381241133721,8.75,8.95,"Ranked by Hotspot Frequency (2.00), FRP (8.85), Pixel Count (56, 0.28% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #21 with the highest hotspot frequency (2.00) and strong fire radiative power (8.85). The cluster contains 56 pixels (0.28% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
294,22.0,Very High,54,0.26804328402660577,2.0,2.0,0.0,2,2,8.225925925925926,8.24,0.04795904378948642,8.14,8.31,"Ranked by Hotspot Frequency (2.00), FRP (8.23), Pixel Count (54, 0.27% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #22 with the highest hotspot frequency (2.00) and strong fire radiative power (8.23). The cluster contains 54 pixels (0.27% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
293,23.0,Very High,45,0.22336940335550481,2.0,2.0,0.0,2,2,7.982444444444444,7.98,0.04259511045112356,7.91,8.06,"Ranked by Hotspot Frequency (2.00), FRP (7.98), Pixel Count (45, 0.22% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #23 with the highest hotspot frequency (2.00) and strong fire radiative power (7.98). The cluster contains 45 pixels (0.22% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
328,24.0,Very High,44,0.21840563883649358,2.0,2.0,0.0,2,2,7.51,7.52,0.08296819228012982,7.38,7.65,"Ranked by Hotspot Frequency (2.00), FRP (7.51), Pixel Count (44, 0.22% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #24 with the highest hotspot frequency (2.00) and strong fire radiative power (7.51). The cluster contains 44 pixels (0.22% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
331,25.0,Very High,37,0.18365928720341507,2.0,2.0,0.0,2,2,7.255405405405405,7.25,0.0668993686481825,7.17,7.34,"Ranked by Hotspot Frequency (2.00), FRP (7.26), Pixel Count (37, 0.18% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #25 with the highest hotspot frequency (2.00) and strong fire radiative power (7.26). The cluster contains 37 pixels (0.18% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
332,26.0,Very High,46,0.22833316787451602,2.0,2.0,0.0,2,2,6.973478260869564,7.0,0.054902636702695774,6.88,7.05,"Ranked by Hotspot Frequency (2.00), FRP (6.97), Pixel Count (46, 0.23% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #26 with the highest hotspot frequency (2.00) and strong fire radiative power (6.97). The cluster contains 46 pixels (0.23% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
333,27.0,Very High,46,0.22833316787451602,2.0,2.0,0.0,2,2,6.637608695652173,6.62,0.0598956419341615,6.56,6.81,"Ranked by Hotspot Frequency (2.00), FRP (6.64), Pixel Count (46, 0.23% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #27 with the highest hotspot frequency (2.00) and strong fire radiative power (6.64). The cluster contains 46 pixels (0.23% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
309,28.0,Very High,77,0.3822098679638638,2.0,2.0,0.0,2,2,6.343376623376623,6.32,0.08058356874454171,6.19,6.51,"Ranked by Hotspot Frequency (2.00), FRP (6.34), Pixel Count (77, 0.38% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #28 with the highest hotspot frequency (2.00) and strong fire radiative power (6.34). The cluster contains 77 pixels (0.38% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
302,29.0,Very High,70,0.34746351633078526,2.0,2.0,0.0,2,2,5.957,5.99,0.08691741874422766,5.78,6.11,"Ranked by Hotspot Frequency (2.00), FRP (5.96), Pixel Count (70, 0.35% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #29 with the highest hotspot frequency (2.00) and strong fire radiative power (5.96). The cluster contains 70 pixels (0.35% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
287,30.0,Very High,148,0.7346371488136603,2.0,2.0,0.0,2,2,5.234324324324324,5.27,0.19615058134189867,4.86,5.58,"Ranked by Hotspot Frequency (2.00), FRP (5.23), Pixel Count (148, 0.73% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #30 with the highest hotspot frequency (2.00) and strong fire radiative power (5.23). The cluster contains 148 pixels (0.73% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
286,31.0,Very High,75,0.37228233892584134,2.0,2.0,0.0,2,2,4.520933333333333,4.53,0.13510929843102046,4.27,4.77,"Ranked by Hotspot Frequency (2.00), FRP (4.52), Pixel Count (75, 0.37% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #31 with the highest hotspot frequency (2.00) and strong fire radiative power (4.52). The cluster contains 75 pixels (0.37% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
210,32.0,Very High,105,0.5211952744961779,2.0,2.0,0.0,2,2,3.7537142857142856,3.77,0.2098316960312256,3.37,4.08,"Ranked by Hotspot Frequency (2.00), FRP (3.75), Pixel Count (105, 0.52% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #32 with the highest hotspot frequency (2.00) and strong fire radiative power (3.75). The cluster contains 105 pixels (0.52% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
0,33.0,Very High,28,0.13898540653231412,1.0,1.0,0.0,1,1,108.79214285714285,107.81,4.5617900621826735,96.64,114.52,"Ranked by Hotspot Frequency (1.00), FRP (108.79), Pixel Count (28, 0.14% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #33 with the highest hotspot frequency (1.00) and strong fire radiative power (108.79). The cluster contains 28 pixels (0.14% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
4,34.0,Very High,48,0.23826069691253848,1.0,1.0,0.0,1,1,76.00125,76.69,3.0462447234084156,70.36,79.97,"Ranked by Hotspot Frequency (1.00), FRP (76.00), Pixel Count (48, 0.24% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #34 with the highest hotspot frequency (1.00) and strong fire radiative power (76.00). The cluster contains 48 pixels (0.24% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
5,35.0,Very High,55,0.27300704854561697,1.0,1.0,0.0,1,1,64.63945454545454,65.07,2.1790444883376985,61.0,68.61,"Ranked by Hotspot Frequency (1.00), FRP (64.64), Pixel Count (55, 0.27% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #35 with the highest hotspot frequency (1.00) and strong fire radiative power (64.64). The cluster contains 55 pixels (0.27% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
6,36.0,Very High,44,0.21840563883649358,1.0,1.0,0.0,1,1,56.38863636363636,56.230000000000004,1.0898956444798862,55.06,57.79,"Ranked by Hotspot Frequency (1.00), FRP (56.39), Pixel Count (44, 0.22% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #36 with the highest hotspot frequency (1.00) and strong fire radiative power (56.39). The cluster contains 44 pixels (0.22% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
7,37.0,Very High,43,0.21344187431748238,1.0,1.0,0.0,1,1,51.387674418604654,51.71,0.5767430607640932,49.96,51.92,"Ranked by Hotspot Frequency (1.00), FRP (51.39), Pixel Count (43, 0.21% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #37 with the highest hotspot frequency (1.00) and strong fire radiative power (51.39). The cluster contains 43 pixels (0.21% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
