Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
-1,3156,15.665640821999405,1.420152091254753,1.0,0.9324028442814569,1,9,17.619825728770596,9.57,23.102188410441833,0.34,184.01
0,28,0.13898540653231412,1.0,1.0,0.0,1,1,108.79214285714285,107.81,4.5617900621826735,96.64,114.52
1,37,0.18365928720341507,5.0,5.0,0.0,5,5,12.955945945945945,11.69,3.9201788929272796,6.72,20.37
2,75,0.37228233892584134,4.0,4.0,0.0,4,4,11.365066666666667,11.93,3.6607089748023136,4.21,20.99
3,58,0.28789834210265064,2.0,2.0,0.0,2,2,75.80241379310345,74.05,3.899150294455662,65.62,83.65
4,48,0.23826069691253848,1.0,1.0,0.0,1,1,76.00125,76.69,3.0462447234084156,70.36,79.97
5,55,0.27300704854561697,1.0,1.0,0.0,1,1,64.63945454545454,65.07,2.1790444883376985,61.0,68.61
6,44,0.21840563883649358,1.0,1.0,0.0,1,1,56.38863636363636,56.230000000000004,1.0898956444798862,55.06,57.79
7,43,0.21344187431748238,1.0,1.0,0.0,1,1,51.387674418604654,51.71,0.5767430607640932,49.96,51.92
8,49,0.2432244614315497,1.0,1.0,0.0,1,1,42.81285714285714,42.83,0.23746052303488127,41.95,43.09
9,35,0.17373175816539263,1.0,1.0,0.0,1,1,48.16571428571429,48.14,0.29822302860429073,47.54,48.51
10,76,0.37724610344485254,1.0,1.0,0.0,1,1,45.50092105263158,45.32,0.40604819954148114,44.99,46.63
11,34,0.16876799364638143,1.0,1.0,0.0,1,1,41.194411764705876,41.16,0.17243692173838177,40.95,41.37
12,49,0.2432244614315497,1.0,1.0,0.0,1,1,40.2604081632653,40.4,0.23712654132053465,39.83,40.51
13,46,0.22833316787451602,1.0,1.0,0.0,1,1,36.41956521739131,36.52,0.16961337108899838,36.17,36.59
14,31,0.15387670008934776,1.0,1.0,0.0,1,1,35.730322580645165,35.7,0.0936121028844658,35.59,35.86
15,95,0.4715576293060657,1.0,1.0,0.0,1,1,38.0801052631579,38.16,0.25422177759989084,37.54,38.41
16,44,0.21840563883649358,1.0,1.0,0.0,1,1,38.986590909090914,39.09,0.17940396383863216,38.76,39.3
17,36,0.17869552268440386,3.0,3.0,0.0,3,3,24.075555555555557,24.3,1.0435418930448759,22.39,25.7
18,273,1.3551077136900627,3.0,3.0,0.0,3,3,11.526556776556777,11.11,4.054913578615038,5.17,20.99
19,38,0.18862305172242627,1.0,1.0,0.0,1,1,33.45368421052632,33.43,0.08826927636137107,33.36,33.7
20,44,0.21840563883649358,1.0,1.0,0.0,1,1,34.2075,34.2,0.17055484012003674,33.95,34.45
21,31,0.15387670008934776,2.0,2.0,0.0,2,2,35.84322580645161,35.8,0.34008221649844533,35.08,36.37
22,52,0.2581157549885833,2.0,2.0,0.0,2,2,38.66423076923077,38.315,0.9384328742253476,37.09,40.17
23,42,0.20847810979847115,1.0,1.0,0.0,1,1,29.315714285714286,29.3,0.10502364094238258,29.19,29.57
24,36,0.17869552268440386,1.0,1.0,0.0,1,1,31.35722222222222,31.34,0.19407820384151636,31.03,31.62
25,52,0.2581157549885833,1.0,1.0,0.0,1,1,30.236923076923077,30.275,0.2648901989433157,29.89,30.73
26,29,0.14394917105132532,1.0,1.0,0.0,1,1,27.215862068965517,27.17,0.09689896215643894,27.08,27.38
27,42,0.20847810979847115,1.0,1.0,0.0,1,1,28.324761904761903,28.33,0.05768873987597943,28.25,28.41
28,53,0.26307951950759456,1.0,1.0,0.0,1,1,28.690377358490565,28.67,0.08761722398616516,28.58,28.82
29,89,0.4417750421919984,1.0,1.0,0.0,1,1,26.41932584269663,26.43,0.2540212846880454,25.89,26.9
30,30,0.14891293557033655,1.0,1.0,0.0,1,1,24.19066666666667,24.17,0.06225272924820766,24.13,24.28
31,41,0.2035143452794599,1.0,1.0,0.0,1,1,24.712926829268294,24.71,0.0684924777781848,24.61,24.87
32,32,0.15884046460835896,1.0,1.0,0.0,1,1,24.461875,24.46,0.029450614758903794,24.42,24.49
33,32,0.15884046460835896,1.0,1.0,0.0,1,1,25.546875,25.52,0.07195148455057834,25.46,25.7
34,35,0.17373175816539263,1.0,1.0,0.0,1,1,25.29542857142857,25.32,0.05215039660008448,25.19,25.33
35,66,0.3276084582547404,1.0,1.0,0.0,1,1,23.330151515151513,23.23,0.22098724240408546,22.99,23.74
