pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max,Cluster
1,-0.34529,110.464146,1,0.5,4.5,274
2,-0.34529,110.467515,1,0.5,4.5,274
3,-0.34529,110.470884,1,0.5,4.5,274
4,-0.348659,110.464146,1,0.5,4.5,274
5,-0.348659,110.467515,2,0.5,4.5,286
6,-0.348659,110.470884,2,0.5,4.5,286
7,-0.348659,110.474252,1,0.5,3.0,258
8,-0.352027,110.464146,1,0.5,4.5,274
9,-0.352027,110.467515,2,0.5,4.5,286
10,-0.352027,110.470884,2,0.5,4.5,286
11,-0.352027,110.474252,1,0.5,3.0,258
12,-0.352027,110.48099,1,0.5,9.85,108
13,-0.352027,110.484358,1,0.5,9.85,108
14,-0.352027,110.487727,1,0.5,9.85,108
15,-0.352027,110.507939,1,0.5,12.69,74
16,-0.352027,110.511308,1,0.5,12.69,74
17,-0.352027,110.514676,1,0.5,12.69,74
18,-0.355396,110.467515,1,0.5,3.0,258
19,-0.355396,110.470884,1,0.5,3.0,258
20,-0.355396,110.474252,1,0.5,3.0,258
21,-0.355396,110.48099,1,0.5,9.85,108
22,-0.355396,110.484358,1,0.5,9.85,108
23,-0.355396,110.487727,1,0.5,9.85,108
24,-0.355396,110.50457,1,0.5,2.65,-1
25,-0.355396,110.507939,1,0.5,12.69,74
26,-0.355396,110.511308,1,0.5,12.69,74
27,-0.355396,110.514676,1,0.5,12.69,74
28,-0.358765,110.48099,1,0.5,36.52,13
29,-0.358765,110.484358,1,0.5,36.52,13
30,-0.358765,110.487727,1,0.5,36.52,13
31,-0.358765,110.491096,1,0.5,36.52,13
32,-0.358765,110.50457,1,0.5,2.65,-1
33,-0.358765,110.507939,1,0.5,12.69,74
34,-0.358765,110.511308,1,0.5,12.69,74
35,-0.358765,110.514676,1,0.5,12.69,74
36,-0.362133,110.48099,1,0.5,36.52,13
37,-0.362133,110.484358,1,0.5,36.52,13
38,-0.362133,110.487727,1,0.5,36.52,13
39,-0.362133,110.491096,1,0.5,36.52,13
40,-0.362133,110.50457,1,0.5,2.65,-1
41,-0.362133,110.507939,1,0.5,2.65,-1
42,-0.362133,110.511308,1,0.5,2.65,-1
43,-0.365502,110.48099,1,0.5,36.52,13
