min_cluster_size,min_samples,dbcv,silhouette,n_clusters,n_noise,noise_ratio,is_valid
25,5,0.2191570141920922,0.6413325772863846,400,1201,0.05961481187332473,True
25,10,0.2408375479341492,0.6455699040498634,384,1499,0.07440683013997816,True
25,15,0.23229633541983905,0.652453855919538,369,1815,0.09009232602005361,True
25,20,0.23459656988591315,0.6650009848655899,353,2704,0.13422019259406334,True
25,25,0.2560846782088346,0.6950203988369009,334,3156,0.15665640821999405,True
25,30,0.2554475934031918,0.6568600155522463,263,3554,0.1764121910056587,True
50,5,0.11131781968520675,0.5193153872375755,157,1286,0.06383401171448426,True
50,10,0.1684757708786051,0.5348243478290859,154,1590,0.07892385585227837,True
50,15,0.16127277769203324,0.5104097073517999,143,1762,0.08746153082497767,True
50,20,0.16383158404550283,0.5141602317164781,139,1786,0.08865283430954035,True
50,25,0.17161541226117505,0.5232427268234682,129,2197,0.10905390648267646,True
50,30,0.2334837168712574,0.5224963682678063,122,2613,0.12970316688176312,True
75,5,0.05787099974423703,0.4157658499020352,92,1278,0.06343691055296337,True
75,10,0.06423319443735315,0.38850276768196607,85,1270,0.06303980939144246,True
75,15,0.09718426802551386,0.3725824940221675,81,1624,0.08061153578874218,True
75,20,0.10818143540854457,0.42456254409631944,82,1643,0.0815546510473543,True
75,25,0.1563328198033596,0.503264130136915,85,2407,0.11947781197260002,True
75,30,0.22604161678356666,0.5039739807102531,85,2350,0.11664846619676363,True
100,5,0.03771583989025319,0.3986506327548472,68,1726,0.08567457559813363,True
100,10,0.05546186991289032,0.3864110872231199,66,1739,0.08631986498560508,True
100,15,0.0643549815778993,0.3911318061849426,65,1943,0.09644594460438796,True
100,20,0.09563622914485055,0.42278775425148357,68,1694,0.08408617095205004,True
100,25,0.12890401073371033,0.4916431794999568,64,2148,0.10662166186836096,True
100,30,0.20684790282114807,0.5181109400449768,68,2588,0.12846222575201033,True
150,5,0.016772255027506025,0.4161518530943311,45,1949,0.09674377047552864,True
150,10,0.02760268519650893,0.40951261996445676,41,1897,0.0941626129256428,True
150,15,0.00238731193896876,0.4071286798081025,40,1840,0.09133326714980641,True
150,20,0.06258302116230975,0.4534685621801133,42,1854,0.09202819418246798,True
150,25,0.092984995470388,0.4969992170092349,44,2794,0.13868758066117343,True
150,30,0.15855516614444534,0.5003898670501488,43,2506,0.12439193884642112,True
200,5,-0.12739145242088054,0.438478749632756,30,2074,0.10294847612429267,True
200,10,-0.05410479180067209,0.32536403592122853,33,1388,0.06889705152387571,True
200,15,-0.0525734367512878,0.32288067131099524,30,2044,0.1014593467685893,True
200,20,0.04346396740542466,0.36885127859972183,32,2166,0.10751513948178298,True
200,25,0.046632293795934476,0.4317454685576563,30,2980,0.1479201826665343,True
200,30,0.09263372893400143,0.4195087147351925,34,1758,0.08726298024421722,True
300,5,-0.3371297882622273,0.3019392514034891,16,1557,0.07728581356100467,True
300,10,-0.18133709244998092,0.2587301095078187,20,1774,0.08805718256725902,True
300,15,-0.17787852794645673,0.2868974301742001,18,2331,0.1157053509381515,True
300,20,0.0412338317447195,0.40893101201554244,24,2853,0.14161620172739006,True
300,25,0.019394672603415646,0.43691051914101414,22,4403,0.21855455177206393,True
300,30,0.08800967903376129,0.4363892761274111,26,2626,0.13034845626923458,True
